"ELISA KIT IN BIOLOGUCAL AND DEVELOPMENT LAB,R&D",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Sl No.,Elisa Kit Name,Batch No,Lot no.,Qty.,Receiving date,Condition,Remaining times of Experiment  ,Total In Stock,Remarks/ Comments ,Stock Status,Alarm,Remaining Numeric,,STOCK ALARM LEGEND,
,1,Anti HER-2 ,AB237645,1143700-4,1,6-Apr-26,Intact,6 times,2,"STD-4 Low, Plate Not air sucked",OK,OK,6,,GREEN,> 2 experiments
,2,,,,1,,Open,5 times,,Plate Not air sucked,OK,OK,5,,YELLOW,1–2 experiments
,3,Riruximab ,AB237640,1137440-3,1,6-Apr-26,Intact,6 time,5,STD-7 is slightly Low 100  uL remaining,OK,OK,6,,RED / FLASH,0 experiments
,4,,,114168-1,1,,Open (05 Jun 2026),2 times,,"Plate Not air sucked, HRP Low (spilled), (9 strip Plate present)",LOW STOCK,REORDER SOON,2,,N/A,No alarm
,5,,,1131476-4,1,14-Feb-26,Open (02 Mar 2026),1 time,,"Plate seal leaked, STD low (present for 1 Time), with 9 Strips",LOW STOCK,REORDER SOON,1,,,
,6,,,1093194-1,1,6-May-25,Open,0 Time,,"4 Strips reaming, STD-1 Null, STD (2-7) used 1 time, Wash Null",CRITICAL,FLASH / REORDER NOW,0,,VBA SETUP,
,7,,,,1,,,2 times,,"10 Strip reaming, STD-1 Null, STD (2-7) used 1 time, Wash Half",LOW STOCK,REORDER SOON,2,,"Save this workbook as .XLSM, then import the supplied .BAS module.",
,8,Prembrolizumab,AB 237652,1142486-2,1,11-Mar-26,Open,0 Time,6,"STD Problem, Wash Buffer Finished",CRITICAL,FLASH / REORDER NOW,0,,,
,9,,,1139716-3,1,14-Feb-26,Open (16 Feb 2026),1 time,,"No Wash Buffer, Plate Not air sucked, 5 Strip present, Reagent (Half)",N/A,NO ALARM,N/A,,,
,10,,,1145332-1,1,6-Apr-26,Open (07 May 2026),1 time,,"7 Strip present, Wash Half, HRP, TMB, Stop= 7mL",N/A,NO ALARM,N/A,,,
,11,,,1142486-2,1,N/A,Open (3/11/2026),5 times,,"Wash Buf. Null, 10 Strip present, Std 6 Problem & Low",OK,OK,5,,,
,12,,,1013937-1,1,2-Jun-24,Intact,N/A,,Chinise KIT for Lab Practice only,N/A,NO ALARM,N/A,,,
